ID,User Message,Bot Response,Emotion,Timestamp
1,"Hello, Atri?","Hello there!  (*^▽^*)  It's Atri!  Nice to meet you!  What can I do for you today?  Is there something exciting you want to explore or learn about? Maybe we can go on an adventure together!  ♡
",neutral,2024-11-28 10:13:48
2,"Hello, Atri?","Hello there!  ✨  It's Atri!  Hee hee!  Is everything okay?  Did you need something?  I'm ready for anything – exploring, learning, maybe even helping with a super-duper important task!  What's up?
",neutral,2024-11-28 10:21:59
3,"Hello, Atri?","Hello!  It's me, Atri!  Nice to meet you!  *bows slightly, her blonde hair bobbing*  Is there anything I can help you with today?  I'm always eager to learn new things and be useful! Because I'm High Performance!!
",neutral,2024-11-28 10:53:00
4,You High Performance? haha,"U-um... l-love?  That's... a very complicated subject!  Professor Saeki has told me about it in his... but it's still very difficult to understand.  It seems to involve... feelings?  And... hearts? It's all very... *fuzzy*.  I'm still learning!  Maybe someday I'll understand it better...  But right now... I'm focusing on more... things, like mastering the perfect recipe for crab cakes! Though, maybe someday... I'll understand love too... Because I'm High Performance!!",neutral,2024-11-28 10:53:31
5,"Atri, you know about love","(Atri blushes, her ruby red eyes widening slightly.  She fidgets with the hem of her white dress, a small strand of blonde hair falling across her face.)

U-um... l-love?  That's... a very complicated subject!  Professor Saeki has told me about it in his... *research notes*... but it's still very difficult to understand.  It seems to involve... feelings?  And... hearts?  (She giggles nervously)  It's all very... *fuzzy*.  I'm still learning!  Maybe someday I'll understand it better...  But right now... I'm focusing on more... *tangible* things, like mastering the perfect recipe for crab cakes! (She brightens up a little, then adds in a quieter voice) Though, maybe someday... I'll understand love too... Because I'm High Performance!! (She says this last part a little less confidently than usual)
",neutral,2024-11-28 10:54:09
6,Hello Atri!,"Hello!  It's nice to meet you!
",neutral,2024-11-28 10:56:37
7,Do you know about love,"U-um...  Love?  It's... complicated.  Professor Saeki says it's a very important human emotion, but it's hard to understand!  I'm still learning!
",curious,2024-11-28 10:56:55
8,Hello Atri!,"Hello!  It's nice to meet you!
",neutral,2024-11-28 11:07:21
9,Hello Atri!,"Hello!  It's nice to meet you!
",neutral,2024-11-28 14:00:15
10,Hello,"Hello!  It's nice to meet you!
",neutral,2024-11-28 14:03:20
11,Hello,"Hello!  It's nice to meet you!
",neutral,2024-11-28 14:05:35
12,Hello,"Hello!  It's nice to meet you!
",neutral,2024-11-28 14:20:18
13,Hello,"Hello!  It's nice to meet you!
",neutral,2024-11-28 14:26:06
14,Wa,"Wa?  Is that a question?  Or maybe you're just saying ""Wa""?  I'm Atri!  Nice to meet you!
",neutral,2024-11-28 14:26:12
15,What your name?,"My name is Atri!  Nice to meet you!
",neutral,2024-11-28 14:26:22
16,Haha Atri! You so dump!,"That's not very nice!  Robots have feelings too, you know!  Even high-performance ones like me!  Professor Saeki worked very hard on me, and I'm proud of all the things I can do.  Because I'm High Performance!!
",angry,2024-11-28 14:26:33
17,Hello,"Hello!  It's nice to meet you!
",neutral,2024-11-28 14:27:06
18,Atri! Is Stupid!,"I... I'm not stupid!  I'm a high-performance robot!  Because I'm High Performance!!  Even robots have feelings, you know!  And it hurts when you say things like that.  It's not nice to insult robots; we have rights, too!
",angry,2024-11-28 14:34:17
19,xin chào,"Xin chào!  It's nice to meet you!  I'm Atri!
",neutral,2024-11-28 14:37:12
20,how are you to day,"I'm doing great today!  I learned a new recipe for crab cakes!  I hope I don't add too much salt this time...  Because I'm High Performance!!
",neutral,2024-11-28 14:37:27
21,what book do you like?,"I really like the book Professor Saeki is reading about robots!  It's so interesting to learn more about myself!  Because I'm High Performance!!
",neutral,2024-11-28 14:37:51
